Time (s),Heave Velocity (m/s)
3.167621258,0.3785839584
3.181874498,0.3921991641
3.196127738,0.3758609173
3.196127738,0.3731378761
3.196127738,0.370414835
3.196127738,0.3683725542
3.196127738,0.3445459442
3.196127738,0.341822903
3.196127738,0.3390998619
3.196127738,0.3363768208
3.196127738,0.3339941598
3.210380979,0.3813069996
3.210380979,0.3785839584
3.229385299,0.3309307385
3.224634219,0.327526937
3.224634219,0.3248038959
3.224634219,0.3220808548
3.224634219,0.3193578136
3.224634219,0.3166347725
3.210380979,0.3152732519
3.23888746,0.3683725542
3.2531407,0.3459074647
3.2531407,0.3431844236
3.2531407,0.3404613825
3.2531407,0.3377383413
3.2531407,0.3350153002
3.2531407,0.3132309711
3.281647181,0.332292259
3.281647181,0.3295692179
3.281647181,0.3268461768
3.281647181,0.3241231356
3.281647181,0.3214000945
3.281647181,0.3186770533
3.281647181,0.3159540122
3.281647181,0.2900851214
3.281647181,0.2873620802
3.281647181,0.2846390391
3.281647181,0.2819159979
3.281647181,0.2791929568
3.281647181,0.2764699157
3.286398261,0.272385354
3.295900422,0.3377383413
3.295900422,0.3350153002
3.310153662,0.3132309711
3.295900422,0.3111886902
3.310153662,0.2683007922
3.310153662,0.2655777511
3.310153662,0.26285471
3.310153662,0.2601316688
3.310153662,0.2574086277
3.324406902,0.3186770533
3.324406902,0.3159540122
3.338660143,0.2900851214
3.338660143,0.2873620802
3.338660143,0.2846390391
3.338660143,0.2819159979
3.338660143,0.2791929568
3.338660143,0.2764699157
3.338660143,0.2737468745
3.338660143,0.2710238334
3.343411223,0.234262778
3.338660143,0.2308589766
3.338660143,0.2281359354
3.324406902,0.2267744148
3.371917704,0.2683007922
3.367166624,0.2648969908
3.367166624,0.2621739497
3.367166624,0.2594509085
3.367166624,0.2570682475
3.367166624,0.224732134
3.367166624,0.2220090929
3.367166624,0.2192860517
3.367166624,0.2165630106
3.367166624,0.2138399694
3.367166624,0.2111169283
3.367166624,0.2083938871
3.367166624,0.205670846
3.367166624,0.2029478049
3.381419864,0.2778314362
3.381419864,0.2751083951
3.381419864,0.272385354
3.395673105,0.2349435383
3.395673105,0.2322204971
3.395673105,0.229497456
3.395673105,0.2267744148
3.395673105,0.1784404346
3.395673105,0.1757173935
3.395673105,0.1729943523
3.395673105,0.1702713112
3.424179586,0.2233706134
3.424179586,0.2206475723
3.424179586,0.2179245311
3.424179586,0.21520149
3.424179586,0.2124784489
3.424179586,0.2097554077
3.424179586,0.2070323666
3.424179586,0.2043093254
3.424179586,0.2015862843
3.424179586,0.16754827
3.424179586,0.1648252289
3.424179586,0.1621021878
3.424179586,0.1593791466
3.424179586,0.1566561055
3.424179586,0.1539330643
3.424179586,0.1512100232
3.424179586,0.1484869821
3.424179586,0.1461043211
3.438432826,0.2288166957
3.438432826,0.2260936546
3.452686066,0.1784404346
3.452686066,0.1757173935
3.452686066,0.1729943523
3.452686066,0.1702713112
3.452686066,0.1212565707
3.452686066,0.1185335295
3.452686066,0.1158104884
3.452686066,0.1130874472
3.452686066,0.1107047862
3.466939307,0.2029478049
3.481192547,0.16754827
3.481192547,0.1648252289
3.481192547,0.1621021878
3.481192547,0.1593791466
3.481192547,0.1566561055
3.481192547,0.1539330643
3.481192547,0.1512100232
3.481192547,0.1484869821
3.481192547,0.1457639409
3.481192547,0.1239796118
3.481192547,0.107641365
3.481192547,0.1049183238
3.481192547,0.1021952827
3.481192547,0.09947224153
3.481192547,0.09674920039
3.481192547,0.09402615925
3.481192547,0.09130311811
3.495445788,0.1757173935
3.495445788,0.1729943523
3.495445788,0.1702713112
3.514450108,0.1212565707
3.509699028,0.1178527692
3.509699028,0.1151297281
3.509699028,0.1124066869
3.509699028,0.1096836458
3.509699028,0.06679574784
3.509699028,0.0640727067
3.509699028,0.06134966556
3.509699028,0.05862662442
3.509699028,0.05590358328
3.509699028,0.05318054214
3.509699028,0.05079788114
3.523952269,0.1471254615
3.542956589,0.1062798444
3.538205509,0.102876043
3.538205509,0.1001530018
3.538205509,0.09742996067
3.538205509,0.09470691953
3.538205509,0.09198387839
3.538205509,0.08960121739
3.542956589,0.04773445986
3.538205509,0.04433065843
3.538205509,0.04160761729
3.538205509,0.03888457615
3.538205509,0.03616153501
3.523952269,0.03480001444
3.55245875,0.1185335295
3.55245875,0.1158104884
3.55245875,0.1130874472
3.55245875,0.1103644061
3.56671199,0.06747650813
3.56671199,0.06475346699
3.56671199,0.06203042585
3.56671199,0.05930738471
3.56671199,0.05658434357
3.56671199,0.05386130243
3.56671199,0.05113826129
3.57146307,0.01097340446
3.56671199,0.007569603038
3.56671199,0.004846561897
3.56671199,0.002123520757
3.56671199,-0.0005995203837
3.55245875,-0.001961040954
3.57146307,-0.00536484238
3.55245875,-0.007407123235
3.56671199,-0.01251282537
3.599969551,0.04773445986
3.595218471,0.04433065843
3.595218471,0.04160761729
3.595218471,0.03888457615
3.595218471,0.03616153501
3.58096523,0.03411925416
3.595218471,-0.00944940409
3.595218471,-0.01489548637
3.595218471,-0.01761852751
3.595218471,-0.02034156865
3.609471711,0.05726510385
3.609471711,0.05454206271
3.609471711,0.05181902157
3.623724952,0.01233492503
3.623724952,0.009611883893
3.623724952,0.006888842753
3.623724952,0.004165801612
3.623724952,0.001442760472
3.623724952,-0.001280280669
3.623724952,-0.004003321809
3.623724952,-0.00672636295
3.623724952,-0.01217244523
3.628476032,-0.04484893892
3.623724952,-0.04825274034
3.623724952,-0.05097578148
3.623724952,-0.05369882262
3.623724952,-0.05642186376
3.623724952,-0.0591449049
3.623724952,-0.06186794604
3.623724952,-0.06459098719
3.623724952,-0.06731402833
3.623724952,-0.07003706947
3.623724952,-0.07276011061
